Category,Dataset,HF_URL
Classic chat,DailyDialog,https://huggingface.co/datasets/elricwan/dailydialog
Classic chat,PersonaChat / ConvAI2,https://huggingface.co/datasets/AlekseyKorshuk/persona-chat
Classic chat,Empathetic Dialogues,https://huggingface.co/datasets/facebook/empathetic_dialogues
Classic chat,Topical-Chat,https://huggingface.co/datasets/Conversational-Reasoning/Topical-Chat
Classic chat,Blended Skill Talk,https://huggingface.co/datasets/blended_skill_talk
QA in context,QuAC,https://huggingface.co/datasets/allenai/quac
Instruction/RLHF,Anthropic HH-RLHF,https://huggingface.co/datasets/Anthropic/hh-rlhf
Instruction/RLHF,Stanford SHP,https://huggingface.co/datasets/stanfordnlp/SHP
Instruction/RLHF,OpenAI WebGPT Comparisons,https://huggingface.co/datasets/openai/webgpt_comparisons
Instruction/RLHF,UltraFeedback,https://huggingface.co/datasets/openbmb/UltraFeedback
Instruction/RLHF,UltraChat 200k,https://huggingface.co/datasets/HuggingFaceH4/ultrachat_200k
Instruction/RLHF,ShareGPT 52–90 K,https://huggingface.co/datasets/RyokoAI/ShareGPT52K
